Pathway;Pathway_total;Hits_total;Hits_sig;Expected;P_Fisher;P_EASE;P_Gamma;Emp_Hits;Empirical;AdjP_Fisher;AdjP_EASE;AdjP_Gamma;Pathway_Number;cpd_hits;Condition;Sex;EnrichFactor
Glycosphingolipid biosynthesis - ganglioseries;38;4;1;0,401570;0,3502300;1,000000;0,00249190;8;0,08;1,0000000;1,000000;0,04066230;P13;EC00057;AcidPFOSTemp;Female;2,490225863485818
Glycosphingolipid biosynthesis - globoseries;17;3;1;0,401570;0,3502300;1,000000;0,00249190;21;0,21;1,0000000;1,000000;0,04066230;P14;EC000126;AcidPFOSTemp;Female;2,490225863485818
Methionine and cysteine metabolism;73;4;1;0,401570;0,3502300;1,000000;0,00249190;17;0,17;1,0000000;1,000000;0,04066230;P15;EC0008;AcidPFOSTemp;Female;2,490225863485818
Glycerophospholipid metabolism;146;13;2;2,275600;0,3997400;0,665020;0,00312370;26;0,26;1,0000000;1,000000;0,04066230;P16;"EC00037;EC00090;EC00091";AcidPFOSTemp;Female;0,878889084197574
Fatty Acid Metabolism;35;3;1;0,535430;0,4386000;1,000000;0,00374040;25;0,25;1,0000000;1,000000;0,04066230;P17;EC00017;AcidPFOSTemp;Female;1,867657770390154
Linoleate metabolism;30;6;1;0,535430;0,4386000;1,000000;0,00374040;16;0,16;1,0000000;1,000000;0,04066230;P18;EC000108;AcidPFOSTemp;Female;1,867657770390154
Phosphatidylinositol phosphate metabolism;48;4;1;0,535430;0,4386000;1,000000;0,00374040;30;0,30;1,0000000;1,000000;0,04066230;P19;EC00017;AcidPFOSTemp;Female;1,867657770390154
Putative anti-Inflammatory metabolites formation from EPA;19;3;1;0,535430;0,4386000;1,000000;0,00374040;30;0,30;1,0000000;1,000000;0,04066230;P20;EC000101;AcidPFOSTemp;Female;1,867657770390154
Saturated fatty acids beta-oxidation;27;3;1;0,535430;0,4386000;1,000000;0,00374040;25;0,25;1,0000000;1,000000;0,04066230;P21;EC00017;AcidPFOSTemp;Female;1,867657770390154
Squalene and cholesterol biosynthesis;53;9;1;0,535430;0,4386000;1,000000;0,00374040;21;0,21;1,0000000;1,000000;0,04066230;P22;EC0008;AcidPFOSTemp;Female;1,867657770390154
De novo fatty acid biosynthesis;73;7;3;2,409400;0,4403700;0,698480;0,00377150;31;0,31;1,0000000;1,000000;0,04066230;P23;"EC00017;EC00090;EC00091";AcidPFOSTemp;Female;1,245123267203453
Tyrosine metabolism;107;6;1;0,669290;0,5155700;1,000000;0,00539180;26;0,26;1,0000000;1,000000;0,04066230;P24;EC0008;AcidPFOSTemp;Female;1,494120635300094
Arachidonic acid metabolism;73;17;1;2,141700;0,6650200;0,898050;0,01148700;58;0,58;1,0000000;1,000000;0,04066230;P25;"EC00090;EC00091";AcidPFOSTemp;Female;0,466918802820190
Vitamin A (retinol) metabolism;55;14;3;2,141700;0,9126100;1,000000;0,05671500;73;0,73;1,0000000;1,000000;0,05671500;P26;EC000118;AcidPFOSTemp;Female;1,400756408460569
